stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Tsao Han Wen\Desktop\GITHUB\hello_git\final\allegroRedemo\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.07226] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07227] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.07227] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07227] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07228] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07228] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07229] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07229] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.07229] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07230] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.07230] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07230] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.07231] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07231] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07232] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07232] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07232] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07233] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.07233] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07233] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.07234] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07234] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.07235] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07235] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07235] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07236] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07236] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07237] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.07237] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07237] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.07238] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07238] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.07239] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07239] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07239] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07240] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07240] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07240] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.07241] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07241] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.07242] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07242] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.07242] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07243] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07243] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07244] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07244] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07244] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07245] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07245] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07245] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07246] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07246] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07247] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07247] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07247] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07248] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07248] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07248] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07249] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07249] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07250] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07250] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07251] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07251] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07251] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07252] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07252] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07252] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07253] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07253] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07254] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07254] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07254] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07255] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07255] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07256] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07256] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07256] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07257] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07257] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07257] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07258] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07258] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07259] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07259] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07259] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07260] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07260] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07261] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07261] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07261] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07262] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07262] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07263] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07263] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07263] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07264] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07264] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07265] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07265] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07265] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07266] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07266] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07266] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07267] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07267] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07268] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07268] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07268] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07269] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07269] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07270] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07270] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07270] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07271] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07271] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07272] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07272] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07272] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07273] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07273] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.07275] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.07289] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.07290] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.14932] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.22303] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.22304] Success
d3d      D         d3d_disp.cpp:1691 d3d_create_display_internals     [   0.22305] Resumed after wait.
d3d      I         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.22308] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1755 d3d_create_display_internals     [   0.22309] Returning d3d_display: 000000000107C090
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.22310] al_display=000000000107C090
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.22310] al_display->vt=00000000026B1DD0
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.22325] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:699  load_library_at_path             [   0.22326] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:702  load_library_at_path             [   0.22350] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.22351] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.22471] added dtor for timer 0000000002768A00, func 0000000061AFE7A1
dtor     D               dtor.c:196  _al_register_destructor          [   0.22472] added dtor for queue 000000000276C3E0, func 0000000061AEBC0B
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.22941] opening .\img\pirulen.ttf rb
font     D                ttf.c:937  al_load_ttf_font_stretch_f       [   0.22985] Font .\img\pirulen.ttf loaded with pixel size 0 x 32.
font     D                ttf.c:939  al_load_ttf_font_stretch_f       [   0.22986]     ascent=31.0, descent=-8.0, height=38.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.22987] added dtor for ttf_font 00000000027643B0, func 0000000061BDEF64
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.23108] opening .\img\pirulen.ttf rb
font     D                ttf.c:937  al_load_ttf_font_stretch_f       [   0.23140] Font .\img\pirulen.ttf loaded with pixel size 0 x 24.
font     D                ttf.c:939  al_load_ttf_font_stretch_f       [   0.23141]     ascent=24.0, descent=-6.0, height=29.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.23142] added dtor for ttf_font 0000000002764440, func 0000000061BDEF64
acodec   I                ogg.c:204  _al_load_ogg_vorbis              [   0.23225] Loading sample .\img\S31-Night Prowler.ogg.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.23226] opening .\img\S31-Night Prowler.ogg rb
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   0.23273] channels 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   0.23273] word_size 2
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   0.23274] rate 44100
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   0.23274] total_samples 6735120
acodec   D                ogg.c:267  _al_load_ogg_vorbis_f            [   0.23274] total_size 26940480
dtor     D               dtor.c:196  _al_register_destructor          [   0.49939] added dtor for sample 000000000277A160, func 0000000061BEB67C
acodec   I                ogg.c:204  _al_load_ogg_vorbis              [   0.50289] Loading sample .\img\start.ogg.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.50290] opening .\img\start.ogg rb
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   0.50335] channels 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   0.50336] word_size 2
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   0.50336] rate 48000
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   0.50336] total_samples 14108544
acodec   D                ogg.c:267  _al_load_ogg_vorbis_f            [   0.50337] total_size 56434176
dtor     D               dtor.c:196  _al_register_destructor          [   1.03896] added dtor for sample 0000000002779BF0, func 0000000061BEB67C
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.04058] opening .\img\pirulen.ttf rb
font     D                ttf.c:937  al_load_ttf_font_stretch_f       [   1.04082] Font .\img\pirulen.ttf loaded with pixel size 0 x 32.
font     D                ttf.c:939  al_load_ttf_font_stretch_f       [   1.04083]     ascent=31.0, descent=-8.0, height=38.0
dtor     D               dtor.c:196  _al_register_destructor          [   1.04084] added dtor for ttf_font 0000000002779E30, func 0000000061BDEF64
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.04098] opening .\img\main-bg.jpg rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.04165] opening .\img\pirulen.ttf rb
font     D                ttf.c:937  al_load_ttf_font_stretch_f       [   1.04181] Font .\img\pirulen.ttf loaded with pixel size 0 x 24.
font     D                ttf.c:939  al_load_ttf_font_stretch_f       [   1.04181]     ascent=24.0, descent=-6.0, height=29.0
dtor     D               dtor.c:196  _al_register_destructor          [   1.04182] added dtor for ttf_font 000000000277A310, func 0000000061BDEF64
acodec   I                ogg.c:204  _al_load_ogg_vorbis              [   1.04214] Loading sample .\img\S31-Night Prowler.ogg.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.04215] opening .\img\S31-Night Prowler.ogg rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.04220] opening .\img\gameover-bg.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.04228] opening .\img\gamewin-bg.jpg rb
dtor     D               dtor.c:196  _al_register_destructor          [   1.04239] added dtor for bitmap 000000000D55F810, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   1.04244] added dtor for bitmap 000000000D6A0E60, func 0000000061AC1BC7
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   1.04261] channels 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   1.04261] word_size 2
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   1.04262] rate 44100
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   1.04262] total_samples 6735120
acodec   D                ogg.c:267  _al_load_ogg_vorbis_f            [   1.04263] total_size 26940480
dtor     D               dtor.c:196  _al_register_destructor          [   1.04487] added dtor for bitmap 000000000D6A17C0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   1.05094] added dtor for bitmap 000000000D6A1180, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   1.05140] added dtor for bitmap 000000000D6A14A0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   1.10297] added dtor for bitmap 000000000D556DF0, func 0000000061AC1BC7
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.11310] removed dtor for bitmap 000000000D6A17C0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.11405] removed dtor for bitmap 000000000D6A0E60
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.11715] opening .\img\settings.png rb
dtor     D               dtor.c:196  _al_register_destructor          [   1.11724] added dtor for bitmap 000000000D556C60, func 0000000061AC1BC7
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.11734] opening .\img\settings2.png rb
dtor     D               dtor.c:196  _al_register_destructor          [   1.11739] added dtor for bitmap 000000000D556490, func 0000000061AC1BC7
acodec   I                ogg.c:204  _al_load_ogg_vorbis              [   1.11747] Loading sample .\img\boss.ogg.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.11748] opening .\img\boss.ogg rb
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   1.11793] channels 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   1.11794] word_size 2
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   1.11794] rate 44100
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   1.11795] total_samples 8009728
acodec   D                ogg.c:267  _al_load_ogg_vorbis_f            [   1.11795] total_size 32038912
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.16434] removed dtor for bitmap 000000000D55F810
dtor     D               dtor.c:196  _al_register_destructor          [   1.30365] added dtor for sample 0000000002779DD0, func 0000000061BEB67C
acodec   I                ogg.c:204  _al_load_ogg_vorbis              [   1.31755] Loading sample .\img\start.ogg.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.31756] opening .\img\start.ogg rb
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   1.31813] channels 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   1.31814] word_size 2
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   1.31816] rate 48000
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   1.31816] total_samples 14108544
acodec   D                ogg.c:267  _al_load_ogg_vorbis_f            [   1.31817] total_size 56434176
dtor     D               dtor.c:196  _al_register_destructor          [   1.45649] added dtor for sample 0000000002779920, func 0000000061BEB67C
dtor     D               dtor.c:196  _al_register_destructor          [   1.82940] added dtor for sample 0000000002779F20, func 0000000061BEB67C
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.83352] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.83353]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.83353]  0.000000 0.707107
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91564] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91565] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91565] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91566] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91566] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91566] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91566] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91567] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91567] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   1.91567] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   1.91568] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   1.91568] Found a format
d3d      I         d3d_disp.cpp:2377 d3d_create_bitmap                [   1.91569] Chose bitmap format 9
font     D                ttf.c:238  alloc_glyph_region               [   1.91596] Glyph 53: 31x25 (32x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.91597] Locking glyph region: 000000000D6A1C70 0 0 32 28
font     D                ttf.c:166  unlock_current_page              [   1.91635] Unlocking page: 000000000D6A1C70
font     D                ttf.c:238  alloc_glyph_region               [   1.91644] Glyph 82: 28x25 (28x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.91644] Locking glyph region: 000000000D6A1C70 32 0 28 28
font     D                ttf.c:166  unlock_current_page              [   1.91650] Unlocking page: 000000000D6A1C70
font     D                ttf.c:238  alloc_glyph_region               [   1.91655] Glyph 67: 35x25 (36x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.91656] Locking glyph region: 000000000D6A1C70 60 0 36 28
font     D                ttf.c:166  unlock_current_page              [   1.91657] Unlocking page: 000000000D6A1C70
font     D                ttf.c:238  alloc_glyph_region               [   1.91663] Glyph 69: 29x25 (32x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.91664] Locking glyph region: 000000000D6A1C70 96 0 32 28
font     D                ttf.c:166  unlock_current_page              [   1.91670] Unlocking page: 000000000D6A1C70
font     D                ttf.c:238  alloc_glyph_region               [   1.91677] Glyph 71: 26x25 (28x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.91677] Locking glyph region: 000000000D6A1C70 128 0 28 28
font     D                ttf.c:166  unlock_current_page              [   1.91683] Unlocking page: 000000000D6A1C70
font     D                ttf.c:440  cache_glyph                      [   1.91684] Glyph 2 has zero size.
font     D                ttf.c:238  alloc_glyph_region               [   1.91690] Glyph 74: 30x25 (32x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.91691] Locking glyph region: 000000000D6A1C70 156 0 32 28
font     D                ttf.c:166  unlock_current_page              [   1.91696] Unlocking page: 000000000D6A1C70
font     D                ttf.c:238  alloc_glyph_region               [   1.91703] Glyph 81: 32x25 (32x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.91704] Locking glyph region: 000000000D6A1C70 188 0 32 28
font     D                ttf.c:166  unlock_current_page              [   1.91709] Unlocking page: 000000000D6A1C70
font     D                ttf.c:238  alloc_glyph_region               [   1.91714] Glyph 86: 31x25 (32x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.91715] Locking glyph region: 000000000D6A1C70 220 0 32 28
font     D                ttf.c:166  unlock_current_page              [   1.91716] Unlocking page: 000000000D6A1C70
font     D                ttf.c:238  alloc_glyph_region               [   1.91723] Glyph 84: 29x25 (32x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.91724] Locking glyph region: 000000000D6A1C70 252 0 32 28
font     D                ttf.c:166  unlock_current_page              [   1.91730] Unlocking page: 000000000D6A1C70
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91764] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91765] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91765] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91765] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91766] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91766] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91767] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91767] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.91767] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   1.91768] Alpha doesn't match
